Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
GL,Globe Life,-17,0,-15,-4,-36,-17,7,-12,42,20,-16
FAST,Fastenal,-47,-58,63,83,41,-1,-61,-6,10,-58,-17
RF,Regions Financial Corporation,2,2,3,5,12,-15,8,-5,-17,-29,-17
BIIB,Biogen,-19,27,-27,-14,-33,1,19,1,-5,16,-17
LOW,Lowe's,-62,-36,24,52,-22,8,-3,-6,5,4,-18
DVA,DaVita Inc.,-40,0,35,7,2,-49,-5,28,6,-20,-18
NCLH,Norwegian Cruise Line Holdings,3,0,3,-54,-48,8,22,-7,7,30,-18
TGT,Target Corporation,10,-34,4,-4,-24,9,2,-6,1,6,-18
AWK,American Water Works,1,3,-3,-10,-9,8,-1,4,-23,-12,-21
LEN,Lennar,-90,-22,83,51,22,-31,-27,-2,16,-44,-22
D,Dominion Energy,4,-10,0,-23,-29,17,-20,28,-19,6,-23
AKAM,Akamai,43,-98,-7,0,-62,42,2,-13,8,39,-23
DGX,Quest Diagnostics,2,0,2,4,8,-3,-17,10,-22,-32,-24
ENPH,Enphase,1,-13,-4,-7,-23,12,-9,6,-11,-2,-25
CTSH,Cognizant,-10,-4,-1,0,-15,-9,6,-10,3,-10,-25
LH,LabCorp,-9,-9,-3,0,-21,-5,8,-13,5,-5,-26
HII,Huntington Ingalls Industries,-18,-46,37,10,-17,-17,6,-7,8,-10,-27
DAL,Delta Air Lines,-59,-7,18,6,-42,2,-25,25,13,15,-27
UAL,United Airlines Holdings,-18,-3,13,0,-8,-26,-16,20,3,-19,-27
MHK,Mohawk Industries,1,-19,24,-18,-12,5,-25,25,-23,-18,-30
DRI,Darden Restaurants,-39,-6,-3,45,-3,-32,-4,-10,16,-30,-33
FIS,Fidelity National Information Services,-8,0,18,-30,-20,-3,-9,28,-30,-14,-34
TSN,Tyson Foods,-3,-10,4,-18,-27,-18,4,26,-19,-7,-34
TRMB,Trimble Inc.,0,-31,22,-3,-12,-3,4,-2,-22,-23,-35
EVRG,Evergy,3,0,0,-12,-9,3,-24,11,-16,-26,-35
O,Realty Income,0,-10,-3,-12,-25,22,-2,-11,-19,-10,-35
CAG,Conagra Brands,0,-20,-5,-2,-27,8,-32,25,-10,-9,-36
TFX,Teleflex,41,1,-8,-26,8,7,-14,-11,-27,-45,-37
CBOE,Cboe Global Markets,-17,-29,0,27,-19,-18,-27,-11,37,-19,-38
MOH,Molina Healthcare,-60,-62,-6,153,25,-3,-62,-7,9,-63,-38
KEYS,Keysight,14,-33,-6,0,-25,10,2,-7,-19,-14,-39
SNA,Snap-on,-62,-33,-3,45,-53,2,-28,-7,44,11,-42
CHTR,Charter Communications,0,26,-24,-23,-21,-8,41,-29,-26,-22,-43
KMX,CarMax,0,0,0,-23,-23,-1,11,-7,-24,-21,-44
OXY,Occidental Petroleum,-15,-34,0,27,-22,-25,7,-2,-3,-23,-45
EMN,Eastman Chemical Company,-62,-6,22,0,-46,4,-9,29,-23,1,-45
INCY,Incyte,-46,32,0,-18,-32,1,-2,2,-15,-14,-46
ETR,Entergy,-19,-10,13,0,-16,-25,-23,32,-15,-31,-47
WAT,Waters Corporation,-19,-27,-1,-2,-49,-2,-27,29,1,1,-48
HBAN,Huntington Bancshares,0,-20,4,0,-16,-16,-27,29,-20,-34,-50
TECH,Bio-Techne,-8,-10,0,-11,-29,-3,-21,25,-22,-21,-50
DHR,Danaher Corporation,-44,-6,25,9,-16,-50,-13,28,1,-34,-50
USB,U.S. Bank,1,-36,32,-17,-20,-11,8,-7,-21,-31,-51
ES,Eversource,1,-21,-8,-15,-43,14,-14,13,-25,-12,-55
JKHY,Jack Henry & Associates,-24,-31,10,0,-45,4,7,-7,-15,-11,-56
CTRA,Coterra,-43,-9,1,30,-21,-17,-21,13,-10,-35,-56
DVN,Devon Energy,-10,-25,-1,0,-36,-10,-2,-1,-9,-22,-58
STT,State Street Corporation,4,-20,0,-12,-28,-11,4,-5,-21,-33,-61
NOC,Northrop Grumman,-8,-29,-7,42,-2,-24,-29,-3,-6,-62,-64
SLB,Schlumberger,-9,-55,-14,2,-76,-26,6,-7,36,9,-67
